propertyCode,thumbnail,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,externalReference,description,parkingSpace,newDevelopmentFinished,neighborhood
33409972,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/31/8f/c6/245033054.jpg,25,3,435000.0,{'price': {'amount': 435000.0}},flat,sale,67.0,2,2,Calçada dos Barbadinhos,Lisboa,São Vicente,Santa Engrácia,pt,38.7203908,-9.1220322,False,https://www.idealista.pt/imovel/33409972/,True,good,False,False,6493.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en Calçada dos Barbadinhos'}",True,False,False,False,{'groupDescription': 'Destacado'},False,False,,,,,
33417055,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c3/96/bb/245046733.jpg,2,3,230000.0,{'price': {'amount': 230000.0}},flat,sale,53.0,1,1,rua Doutor João de Barros,Lisboa,Benfica,Arneiros,pt,38.7519172,-9.2011453,False,https://www.idealista.pt/imovel/33417055/,False,renew,False,True,4340.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso en rua Doutor João de Barros'}",False,False,False,False,,False,False,044934,,,,
33416698,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fa/ca/1b/244997167.jpg,21,7,329900.0,{'price': {'amount': 329900.0}},flat,sale,77.0,2,2,"rua Doutor João de Barros, 25",Lisboa,Benfica,Arneiros,pt,38.7544606,-9.1989739,True,https://www.idealista.pt/imovel/33416698/,False,good,False,True,4284.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso en rua Doutor João de Barros, 25'}",True,False,False,False,,False,False,PV837/24,,,,
33417103,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/58/73/40/245044136.jpg,12,7,329900.0,{'price': {'amount': 329900.0}},flat,sale,77.0,2,2,Arneiros,Lisboa,Benfica,Arneiros,pt,38.753108,-9.1975012,False,https://www.idealista.pt/imovel/33417103/,False,good,False,True,4284.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,LT22494,,,,
33417101,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/96/93/65/245043715.jpg,27,,2500000.0,{'price': {'amount': 2500000.0}},chalet,sale,280.0,4,3,"travessa das Terras do Monte, 7",Lisboa,São Vicente,Graça,pt,38.7195537,-9.1324498,True,https://www.idealista.pt/imovel/33417101/,True,good,False,,8929.0,{'typology': 'chalet'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Chalet en travessa das Terras do Monte, 7'}",True,False,False,False,{'groupDescription': 'Top'},False,False,8172 DA 2,"Esta es una de las villas más excepcionales de Lisboa.  En la cima de la colina de Senhora do Monte, en Graça, mirando hacia abajo a toda la ciudad de Lisboa, esta casa actualmente en ruinas tiene un proyecto aprobado, y puede convertirse en su residencia preferida.  Integrada en una parcela de 210m2, la vivienda tendrá 3 plantas y una superficie total de 280m2. Rodeado por un exuberante jardín tropical, un verdadero rincón botánico, el espacio goza de un encanto único, sublimado por la vista panorámica absolutamente única. Bañada de luz natural y situada en una zona peatonal, sin salida, la casa permite disfrutar de una gran sensación de tranquilidad y confort, en el corazón de Lisboa.  La planta baja, con acceso directo al jardín, contará con 2 suites, una de las cuales cuenta con un gran armario privado. El área social se distribuye a lo largo de la primera planta, a través de una cocina abierta a un amplio salón y comedor, y un aseo de cortesía. Finalmente, en el tercer y último piso, se puede disfrutar de 2 suites más, una de las cuales tiene un armario privado, con extraordinarias vistas sobre la propiedad, la capilla de Senhora do Monte y la ciudad de Lisboa. El barrio de Graça es uno de los barrios más de moda de Lisboa. Situado en la colina más alta de la ciudad, Graça es reconocido como uno de los barrios más típicos y pintorescos de Lisboa, conservando, aún hoy, su autenticidad. Destaca por su amplia oferta de servicios y comercios, numerosos atractivos culturales y turísticos, y un patrimonio construido de alto valor histórico.",,,
33410787,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b2/a3/63/244571732.jpg,33,3,780000.0,{'price': {'amount': 780000.0}},flat,sale,129.95,2,2,Alfama - Sé,Lisboa,Santa Maria Maior,Alfama - Sé,pt,38.7071616,-9.1344408,False,https://www.idealista.pt/imovel/33410787/,False,good,False,,6002.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,LX261,,,,
33417042,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/25/d4/d8/245035082.jpg,41,14,650000.0,{'price': {'amount': 650000.0}},flat,sale,135.0,2,2,avenida José Malhoa,Lisboa,Campolide,Praça de Espanha - Sete Rios,pt,38.7370539,-9.1602662,False,https://www.idealista.pt/imovel/33417042/,False,good,False,True,4815.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en avenida José Malhoa'}",False,False,False,False,,False,False,120401015-2551,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33417008,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bf/d1/f2/245030460.jpg,12,7,550000.0,{'price': {'amount': 550000.0}},penthouse,sale,152.0,5,3,avenida Almirante Reis,Lisboa,Arroios,Anjos,pt,38.7271115,-9.1335208,False,https://www.idealista.pt/imovel/33417008/,False,renew,False,True,3618.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Arroios, Lisboa', 'title': 'Ático en avenida Almirante Reis'}",False,False,False,False,,False,False,125321122-11,,,,
33417001,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/1e/84/ba/245021710.jpg,45,,380000.0,{'price': {'amount': 380000.0}},flat,sale,50.0,2,1,Praça Afonso de Albuquerque,Lisboa,Belém,Centro,pt,38.6968479,-9.1992898,False,https://www.idealista.pt/imovel/33417001/,False,good,False,False,7600.0,{'typology': 'flat'},"{'subtitle': 'Belém, Lisboa', 'title': 'Piso en Praça Afonso de Albuquerque'}",False,False,False,False,,False,False,IMND-76367,,,,
33416959,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a8/ac/e1/245020608.jpg,23,,850000.0,{'price': {'amount': 850000.0}},chalet,sale,149.0,4,2,rua Teixeira Pinto,Lisboa,Penha de França,Centro,pt,38.7285955,-9.1260645,False,https://www.idealista.pt/imovel/33416959/,False,good,False,,5705.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Penha de França, Lisboa', 'title': 'Chalet pareado en rua Teixeira Pinto'}",False,False,False,False,,False,False,125321122-12,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
