propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,highlight,neighborhood,newDevelopmentFinished
33407186,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/12/05/18/244323750.jpg,1217-3668,24,11,895000.0,{'price': {'amount': 895000.0}},flat,sale,121.0,3,3,avenida Miguel Torga s/n,Lisboa,Campolide,Nova Campolide,pt,38.7304478,-9.1615174,True,https://www.idealista.pt/imovel/33407186/,"Amplio apartamento de 3 habitaciones ubicado en el condominio Nova Campolide. Ubicado en el piso 11, ofrece una vista abierta que da una sensación de espacio abierto. Al acceder al recibidor del apartamento, le recibe un amplio y luminoso salón de 38m² con balcón. La cocina totalmente equipada, de 14m², también da acceso al balcón del salón, seguido de un baño de visitas que completa el área social del apartamento. La antecámara separa el área social del área privada, donde se encuentran: una suite completa con closet y baño, dos dormitorios adicionales, ambos con balcones y vista a Monsanto, y un segundo baño de apoyo a los dos dormitorios. Se incluyen tres plazas de aparcamiento y un trastero en la misma planta. El apartamento se benefició de las obras de conservación realizadas este año. A solo 7 minutos a pie de la Universidade Nova de Lisboa y a 15 minutos a pie del Liceu Francês, el centro comercial Amoreiras y el Corte Inglés, este apartamento te sitúa en el centro de todo lo que Campolide tiene para ofrecer. La proximidad al acceso por carretera principal hace que esta ubicación sea ideal para quienes buscan un viaje fácil. Reserva ahora tu visita y enamórate de este exclusivo apartamento en Campolide. Espacio de apartamento T3 ubicado dentro de la copropiedad de Nova Campolide. Situé en el 11ème étage, ofrece una vista dégagée y una sensación de espacio y luminosidad. Al entrar en el hall del apartamento, podrá acceder a un salón con espacio y luminosidad de 38 m² con balcón. La cocina totalmente equipada, de 14 m², también tiene acceso al balcón del salón. Un WC invita a completar la zona social del apartamento. El vestíbulo separa la zona social de la zona privativa, o vous trouverez: una suite completa con vestidor y sala de baños, dos habitaciones adicionales, todas las dos con balcón y vista a Monsanto. Además de una segunda sala de baños para las dos habitaciones. Tres plazas de aparcamiento y un débarras sobre el mismo escenario también están incluidos. El apartamento es un beneficio de las obras de renovación realizadas este año. Está a 7 minutos cerca de la Universidad de Nova de Lisboa y a 15 minutos cerca del Lycée Français, el centro comercial Amoreiras y el Corte Inglés, este apartamento vous place au cur de tout ce que Campolide. está ofreciendo. La proximidad de los ejes principales de las rutas proporciona el final ideal para buscar la facilidad de desplazamiento. Características: Características exteriores: comunidad cerrada; Jardín; Estacionamiento; Videoportero; Piso superior; Características interiores - Hall de entrada; Electrodomésticos integrados; Baño completo; Armario; Armarios; Características Generales - Portero; Otros equipos: servicio de Internet; Gas canalizado; Calefacción central; Sistema de seguridad; Lavavajillas; Lavadora; Vistas: vista a la ciudad; Vista al jardín; Otras características - Garaje; Balcón; Cocina equipada; Recopilación; Suite; Acceso adecuado para personas con movilidad reducida; Ascensor;.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",7397.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en avenida Miguel Torga s/n'}",False,False,False,False,False,False,,,
33407139,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d5/89/39/244319814.jpg,W-02VP2V,28,1,595000.0,{'price': {'amount': 595000.0}},flat,sale,113.0,2,2,Torre de Belém,Lisboa,Belém,Torre de Belém,pt,38.694614,-9.2132039,False,https://www.idealista.pt/imovel/33407139/,,True,good,False,True,,5265.0,{'typology': 'flat'},"{'subtitle': 'Belém, Lisboa', 'title': 'Piso'}",True,False,True,False,False,False,,,
33386005,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/34/ee/31/243093633.jpg,HT_50008,17,4,550000.0,{'price': {'amount': 550000.0}},flat,sale,53.0,1,1,Príncipe Real - São Bento,Lisboa,Misericórdia,Príncipe Real - São Bento,pt,38.7146666,-9.1489501,False,https://www.idealista.pt/imovel/33386005/,"Ático de 53,20 m2 en venta en una de las tranquilas calles de Príncipe Real en LIsboa Insertado en un edificio con pocos vecinos, que resulta de la rehabilitación de un edificio del siglo XIX, donde la tradición, el encanto y los detalles del edificio fueron pensados con mucho cuidado para mantener.  Con ventanas y vistas sobre los tejados de Lisboa, el río Tajo, las Amoreiras y la Iglesia. Con una excelente ubicación en el cruce cada vez más cosmopolita de Palmeira, le permite caminar para disfrutar de uno de los mejores distritos comerciales de Lisboa, los palacios, teatros, así como bares y restaurantes gourmet como se puede encontrar en Príncipe Real! La rehabilitación se realizó con el compromiso y la calidad de su bienestar y por lo tanto, se recuperó manteniendo el encanto del pasado y garantizando el confort que la vida moderna exige. Quieres vivir en una ciudad con mucho encanto, y tener una experiencia maravillosa en Portugal, ven a vivir en este apartamento! ¡Ven a ver!",True,good,False,True,,10377.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33407097,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/20/62/0d/244318918.jpg,LS052401,42,2,1085000.0,{'price': {'amount': 1085000.0}},flat,sale,150.0,4,4,rua das Amoreiras,Lisboa,Campo de Ourique,Amoreiras,pt,38.7209463,-9.1577279,False,https://www.idealista.pt/imovel/33407097/,"¡Excelente apartamento de 4 dormitorios para debutar después de haber sido sometido a una intervención total! Situado en la Rua das Amoreiras, con vista frontal al agradable jardín de Amoreiras, muy cerca de la estación de metro Rato y a minutos del Centro Comercial Amoreiras.  ¡Una zona de historia y excelencia en la capital! Jardim das Amoreiras es un lugar encantador en Lisboa, conocido por sus moreras centenarias y su ambiente tranquilo. Originalmente, formaba parte del Convento de Amoreiras, fundado en el siglo XVI. Este excelente T4 cuenta con:  - Amplio salón comedor con conexión a la cocina;  - Dormitorio / Oficina junto a la sala de estar;  -Inodoro;  - 3 Suites, todas con armarios, cabinas de ducha y vistas despejadas en la parte trasera; - División de almacenaje y lavandería. 2ª planta en edificio con ascensor y en excelente estado.  Posibilidad de un acuerdo en el edificio contiguo (Ginásio Clube Portugués). Aire acondicionado frío y calor en todas las habitaciones, ventanas de doble acristalamiento, marcos batientes, persianas regulables, toalleros eléctricos. Trabajos de restauración al detalle y con materiales de calidad superior. Oportunidad única en una zona muy valorada de la ciudad y con poca oferta en el mercado.  ¡Ponte en contacto y agenda tu visita! Ref: LS052401.",True,good,False,True,,7233.0,{'typology': 'flat'},"{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Piso en rua das Amoreiras'}",True,False,True,False,False,False,{'groupDescription': 'Top'},,
33406948,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c4/de/87/244315388.jpg,2202,19,1,350000.0,{'price': {'amount': 350000.0}},flat,sale,65.0,2,1,Santa Catarina,Lisboa,Misericórdia,Santa Catarina,pt,38.7089557,-9.1496807,False,https://www.idealista.pt/imovel/33406948/,"Apartamento insertado en edificio que fue totalmente renovado recientemente, situado en un primer piso. Apartamento con buena luz natural, sin divisiones interiores, muy próximo al centro del Chiado y junto al Mirador de Santa Catarina (Adamastor). Carpintería con vidrios dobles, cocina semi equipada con lavadora y vajilla, frigorífico, campana extractora, placa y horno. Tiene dos pequeños balcones en la fachada principal. El apartamento en este momento se encuentra arrendado por el período de un año. 1100 mes No pierda esta oportunidad. Reserve ya una visita.",False,good,False,False,,5385.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
33396958,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/09/f3/f6/243870497.jpg,AH2411-JM,21,,275000.0,{'price': {'amount': 275000.0}},flat,sale,77.0,2,2,Prazeres - Maria Pia,Lisboa,Campo de Ourique,Prazeres - Maria Pia,pt,38.7136266,-9.1692537,False,https://www.idealista.pt/imovel/33396958/,,False,good,False,,,3571.0,{'typology': 'flat'},"{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,
33327770,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/52/19/5e/240603976.jpg,,33,3,360000.0,{'price': {'amount': 360000.0}},flat,sale,105.0,3,1,rua Sebastião Saraiva Lima,Lisboa,Penha de França,Centro,pt,38.7322274,-9.1314911,False,https://www.idealista.pt/imovel/33327770/,"Ven a conocer este apartamento de 3 habitaciones ubicado en el corazón de Lisboa, en la parroquia de Penha de França. A solo 5 minutos a pie de la estación de metro Arroios y a 10 minutos del prestigioso Instituto Superior Técnico, su ubicación es ideal para quienes buscan conveniencia y acceso rápido a los principales puntos de la ciudad. El entorno del apartamento ofrece una amplia variedad de comercios locales, restaurantes, supermercados, farmacias y otros servicios, haciendo que el día a día sea más práctico y agradable. Ubicado en el 3er y último piso de un edificio tradicional, este inmueble ofrece una oportunidad única de vivir en una de las zonas más vibrantes y convenientes de la ciudad. Con la transformación de un apartamento de 4 habitaciones en uno de 3 habitaciones, el apartamento ofrece espacios amplios y acogedores, perfectos para acomodar a tu familia y recibir a tus amigos. Las 3 habitaciones, aunque dos de ellas son interiores, se benefician de ventanas que proporcionan luz natural, garantizando un ambiente acogedor en toda la casa. Este inmueble ya ha pasado por algunas remodelaciones, incluyendo la renovación de la carpintería y el suelo, garantizando un ambiente moderno y acogedor. No pierdas la oportunidad de explorar este encantador apartamento y descubrir todo lo que tiene para ofrecer. Ponte en contacto hoy mismo para programar una visita y dar el primer paso para asegurar tu lugar en el corazón de Lisboa.",False,good,False,False,,3429.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en rua Sebastião Saraiva Lima'}",False,False,False,False,False,False,,,
33332944,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/91/5d/b6/244494287.jpg,OEIJD1087,42,7,960000.0,{'price': {'amount': 960000.0}},flat,sale,154.0,3,3,Igreja de Benfica,Lisboa,Benfica,Igreja de Benfica,pt,38.7491969,-9.2049373,False,https://www.idealista.pt/imovel/33332944/,,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6234.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
33303462,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/c0/22/b6/244494156.jpg,OEIJD1084,22,2,215000.0,{'price': {'amount': 215000.0}},flat,sale,42.0,1,1,Beato,Lisboa,Beato,,pt,38.7393166,-9.1222129,False,https://www.idealista.pt/imovel/33303462/,,True,good,False,False,,5119.0,{'typology': 'flat'},"{'subtitle': 'Beato, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
33063705,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/af/89/90/244492534.jpg,OEIJD1060,29,5,900000.0,{'price': {'amount': 900000.0}},flat,sale,116.0,2,3,Expo Central,Lisboa,Parque das Nações,Expo Central,pt,38.7678948,-9.0949687,False,https://www.idealista.pt/imovel/33063705/,,True,good,False,True,,7759.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,,
