propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,newDevelopmentFinished,parkingSpace,neighborhood,highlight
33396874,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/68/6c/4b/243868562.jpg,1204-4732,20,st,289000.0,{'price': {'amount': 289000.0}},flat,sale,60.0,2,1,rua Aliança Operária,Lisboa,Alcântara,Alto de Alcântara,pt,38.7026363,-9.1925512,False,https://www.idealista.pt/imovel/33396874/,"Este simpático apartamento está situado en el sótano de un edificio de dos plantas y está compuesto por; una sala con cocina americana, totalmente equipada, dos dormitorios, uno de ellos interior, y un baño. Con una ubicación privilegiada, cerca del río Tajo y del campus universitario de Ajuda, este encantador apartamento ofrece fácil acceso a todos los servicios y comodidades de la región. El apartamento se encuentra totalmente remodelado y a estrenar.",True,good,False,False,4817.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso en rua Aliança Operária'}",True,False,False,False,False,False,,,,
33393677,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d5/3e/6b/243598804.jpg,,8,,745000.0,{'price': {'amount': 745000.0}},chalet,sale,140.0,2,3,"calçada Calçada do Galvão, 11",Lisboa,Belém,Centro,pt,38.6990792,-9.2037535,True,https://www.idealista.pt/empreendimento/33393677/,"Casa da Calçada 1882 Exclusiva Townhouse en Restelo, frente al Jardín Botánico Tropical. Se trata de un inmueble único para rehabilitar, situado entre la Embajada (residencia) de Perú y la Embajada de Timor Oriental, a dos pasos del Monasterio de los Jerónimos y del río. La Townhouse tiene un estudio, desarrollado por el taller de arquitectura MMTB Project Group, que podrá dar seguimiento a la obra. Excelente inversión para ""casa propia"" o ""promotor inmobiliario"" Una ocasión única en Restelo. El estudio desarrollado no necesita licencia municipal, pudiendo proceder de inmediato a las obras de rehabilitación. La Casa da Calçada 1882 tiene dos patios traseros, siendo que el más elevado llevará una pequeña piscina y solárium. Con cerca de 140 m2 de área edificada el inmueble está compuesto por: sala de estar, comedor independiente, cocina, aseo social, 2 master suites con armarios empotrados y aseo privado, además de un anexo para trasteros y lavadero. Información adicional: El inmueble es una casa adyacente a un edificio de la misma fecha, con total independencia y privacidad. Su cubierta (terraza) es de uso del primer piso del inmueble adyacente. Los arquitectos también desarrollaron un estudio donde se desarrolla una planta inferior más, con patio inglés para iluminación natural y poder así pasar a una tipología hasta T4 con pequeña piscina cubierta. En este caso necesita licencia municipal. Los estudios no son vinculantes para el comprador. Se admite intervención de consultores inmobiliarios. Ubicación: Calçada do Galvão 11 Belén Lisboa.",False,newdevelopment,True,,5321.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Belém, Lisboa', 'title': 'Casa independiente en calçada Calçada do Galvão, 11'}",True,False,False,False,False,False,False,,,
33396783,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7a/15/ac/243864797.jpg,,23,1,320000.0,{'price': {'amount': 320000.0}},duplex,sale,90.0,2,2,rua Nova do Calhariz,Lisboa,Ajuda,Boa Hora,pt,38.7038188,-9.1960848,False,https://www.idealista.pt/imovel/33396783/,"Fantástico apartamento de 1 dormitorio, transformado en 1 dormitorio + 1 en la calle Nova do Calhariz en Ajuda. En el municipio de Lisboa con mucho comercio y servicios circundantes. Esta propiedad es un dúplex, en el primer piso cuenta con una habitación, una sala y cocina en espacio abierto y dos baños muy modernos. También tiene un balcón y cuenta con ventanas a ambos lados de la casa, dando mucha luminosidad a su apartamento. En la planta superior tenemos una zona que se transformó en habitación con buenas áreas y también cuenta con una terraza con vista al mar y al espléndido puente 25 de abril. También tiene una zona de aparcamiento que podrá facilitar el aparcamiento de su vehículo. Venga a conocer esta gran oportunidad ya sea para vivienda propia o inversión.",True,good,False,False,3556.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Ajuda, Lisboa', 'title': 'Dúplex en rua Nova do Calhariz'}",False,False,False,False,False,False,,,,
33394888,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/1a/a2/f6/243748348.jpg,C0506-00150,43,2,450000.0,{'price': {'amount': 450000.0}},flat,sale,200.0,7,2,rua Morais Soares,Lisboa,Penha de França,Bairro dos Actores - Barão Sabrosa,pt,38.7326469,-9.1315125,False,https://www.idealista.pt/imovel/33394888/,"El apartamento de 7 habitaciones está listo para habitar y conserva su estado original. Ubicado en el tercer piso de un edificio sin ascensor, ofrece un ambiente acogedor y funcional para sus ocupantes. Al entrar, es recibido por un pasillo estrecho que conduce a las distintas estancias de la residencia. La sala de estar es espaciosa, con grandes ventanales que permiten la entrada abundante de luz natural, destacando el suelo de madera bien conservado. Con dos balcones, con acceso por el comedor y el otro por la cocina. La cocina, aunque compacta, está bien equipada con electrodomésticos modernos y armarios para almacenamiento. Hay espacio para una pequeña mesa de comedor, ideal para comidas rápidas. También tiene una despensa al lado de la cocina. Las siete habitaciones varían en tamaño, algunas más grandes que otras, ofreciendo flexibilidad para acomodar a una familia numerosa o funcionar como espacios de trabajo adicionales. Las ventanas de cada habitación proporcionan una ventilación adecuada y vistas a la concurrida calle Morais Soares. El apartamento cuenta con dos baños, uno completo con bañera y otro solo con ducha. Ambos son funcionales y presentan una decoración sencilla. El apartamento ofrece una ubicación conveniente, con fácil acceso al transporte público, tiendas, restaurantes y otras comodidades esenciales de la ciudad. ¡Esperamos su visita!",True,good,False,False,2250.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en rua Morais Soares'}",True,False,False,False,False,False,,,,
33396690,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a2/82/0f/243860504.jpg,,65,15,1900000.0,{'price': {'amount': 1900000.0}},duplex,sale,337.0,6,5,"Azinhaga das Galhardas, 17",Lisboa,Alvalade,Campo Grande,pt,38.7537363,-9.1659839,True,https://www.idealista.pt/imovel/33396690/,"Conoce - EDEN SKY - ¡EL PARAÍSO DENTRO DE LA CIUDAD! Esta fue la denominación elegida para este imperial Dúplex T6 que traduce la perfección paradisíaca y que combina calidad de vida, en un condominio rodeado de espacios verdes, seguridad, modernidad y confort. Un verdadero oasis para una vida con felicidad plena. Sus magníficas áreas se distribuyen entre dos plantas diferentes, unidas entre sí por una bellísima escalera de madera y barandilla de cristal. Los acabados son de primera calidad: desde el suelo, aire acondicionado empotrado, ventanas de carpintería de doble acristalamiento, persianas eléctricas y baños con sanitarios y muebles suspendidos. Planta 0: La zona social cuenta con 58m2 entre el comedor y el esplendoroso salón, que es el lugar perfecto para contemplar fabulosas vistas a la ciudad. La cocina se encuentra totalmente equipada con electrodomésticos de la marca Bosch y con zona de lavadero. En esta planta, encontramos también una espaciosa suite que ofrece un vestidor y un baño con plato de ducha. Planta 1: Planta más privada, para descanso y separación de la zona social de la planta 0, donde el hall se centra entre 2 habitaciones, un baño, 1 suite y 1 master suite. Las 2 habitaciones cuentan con armarios empotrados y comparten un baño completo de excelentes dimensiones. La suite dispone de múltiples armarios empotrados en vestidor y un excelente baño con plato de ducha. En la increíble master suite, las áreas son de excelencia, además de disponer de armarios empotrados extensos con excelente ordenación y un estupendo baño con bañera. El apartamento disfruta también de 4 plazas de aparcamiento y un excelente trastero. La piscina del condominio cuenta con una cascada y es ideal para refrescarse en los días de verano e incluso relajarse en los días de invierno, con baños de agua caliente e inyectores de hidromasaje. Las zonas verdes son ideales para hacer ejercicio, meditar, socializar o incluso dar un paseo de relax y diversión en el parque infantil. Este condominio privado presenta altos estándares de arquitectura, ofrece un servicio de portería, videovigilancia 24 horas e identificación por huella dactilar. Ubicación: Se sitúa en un verdadero ""Paraíso"" de posición de la ubicación: en la frontera entre Alvalade y Laranjeiras, encontramos este prestigioso condominio - el ""Mais Campo Grande"". Privilegiado de todo tipo de comercio y servicios en los alrededores, desde farmacias, gimnasios, restaurantes y cafés, supermercados, universidades, colegios, Hospital Santa María y bellísimos jardines - en un pequeño radio, todo lo que necesitamos para una vida feliz, tranquila y con todo a mano. A nivel de accesos, se encuentra en una posición destacada para la rápida movilidad, estando a menos de un minuto de la 2ª Circular, a 3 minutos del Eje Norte-Sur y a 8 minutos del Aeropuerto. El Metro de Campo Grande está a solo 11 minutos a pie. Características Principales: - Salón de estar con 45m2 - Cocina con equipos Bosch, muebles en lacado blanco y encimeras de piedra granito Angola - 3 Suites + 2 Habitaciones + 1 Despacho/Comedor - 5 Baños: 3 en suite + 1 completo y 1 social - 4 plazas de aparcamiento - Excelente trastero - Puertas, armarios empotrados y muebles de cocina en blanco lacado - Aire Acondicionado empotrado - Carpintería en vidrios dobles - Persianas eléctricas - Zona de lavadero con lavadoras y secadoras Bosch - Bloque del condominio con 3 ascensores - Servicio de portería y videovigilancia Siempre a su disposición, Equipo DIAMOND'S PORTUGAL *Shaping Outstanding Deals* Powered by: Agencia Kasas de Portugal - AMI 9049.",True,good,False,True,5638.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Alvalade, Lisboa', 'title': 'Dúplex en Azinhaga das Galhardas, 17'}",True,True,False,False,False,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33396089,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b2/9a/26/243858149.jpg,,5,1,300000.0,{'price': {'amount': 300000.0}},studio,sale,44.0,0,1,Graça,Lisboa,São Vicente,Graça,pt,38.7192047,-9.127597,False,https://www.idealista.pt/empreendimento/33396089/,,False,newdevelopment,True,True,6818.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'São Vicente, Lisboa', 'title': 'T0'}",False,False,False,False,False,False,False,,,
33350403,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/79/3d/7a/241357518.jpg,GP10119,24,5,279900.0,{'price': {'amount': 279900.0}},flat,sale,47.0,1,1,Estrada de Benfica,Lisboa,São Domingos de Benfica,Estrada de Benfica,pt,38.7467287,-9.1799162,False,https://www.idealista.pt/imovel/33350403/,,False,good,False,True,5955.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33396540,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/08/4c/01/243856312.jpg,120181219-62,9,,230000.0,{'price': {'amount': 230000.0}},flat,sale,38.0,1,1,travessa Olival à Graça,Lisboa,São Vicente,Santa Engrácia,pt,38.7210614,-9.1230246,False,https://www.idealista.pt/imovel/33396540/,,False,good,False,,6053.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en travessa Olival à Graça'}",False,False,False,False,False,False,,,,
33396509,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a4/1b/a4/243856285.jpg,120181206-167,24,,810000.0,{'price': {'amount': 810000.0}},flat,sale,209.0,4,2,rua Joly Braga Santos,Lisboa,São Domingos de Benfica,Laranjeiras,pt,38.7495724,-9.1675461,False,https://www.idealista.pt/imovel/33396509/,,False,good,False,,3876.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso en rua Joly Braga Santos'}",False,False,False,False,False,False,,,,
33396527,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/80/52/b9/243856210.jpg,120181165-362,40,,950000.0,{'price': {'amount': 950000.0}},flat,sale,150.0,4,3,Azinhaga das Galhardas s/n,Lisboa,Alvalade,Campo Grande,pt,38.7549711,-9.1660962,True,https://www.idealista.pt/imovel/33396527/,,False,good,False,,6333.0,{'typology': 'flat'},"{'subtitle': 'Alvalade, Lisboa', 'title': 'Piso en Azinhaga das Galhardas s/n'}",False,False,False,False,False,False,,,,
