propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,description,highlight,neighborhood,newDevelopmentFinished
33382170,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/69/f3/6a/243703676.jpg,022.949.001,27,st,269900.0,{'price': {'amount': 269900.0}},flat,sale,34.0,1,1,Arneiros,Lisboa,Benfica,Arneiros,pt,38.7519349,-9.1992723,False,https://www.idealista.pt/imovel/33382170/,False,good,False,False,7938.0,{'typology': 'flat'},"{'subtitle': 'Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,,,
33382148,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7f/57/74/242922633.jpg,011230132,5,,1245000.0,{'price': {'amount': 1245000.0}},flat,sale,171.0,4,3,Prazeres,Lisboa,Estrela,Prazeres,pt,38.7090163,-9.1710811,False,https://www.idealista.pt/imovel/33382148/,True,good,False,True,7281.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
33382147,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3f/ee/1c/242922590.jpg,011230135,14,,792000.0,{'price': {'amount': 792000.0}},flat,sale,112.0,2,2,Prazeres,Lisboa,Estrela,Prazeres,pt,38.7135338,-9.1672993,False,https://www.idealista.pt/imovel/33382147/,True,good,False,True,7071.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
33382146,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5e/09/9e/242922522.jpg,011230138,4,,909000.0,{'price': {'amount': 909000.0}},flat,sale,127.0,2,2,Prazeres,Lisboa,Estrela,Prazeres,pt,38.7138878,-9.169629,False,https://www.idealista.pt/imovel/33382146/,True,good,False,,7157.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,,
33382152,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e7/4a/09/242967168.jpg,L0305/24,16,bj,218000.0,{'price': {'amount': 218000.0}},flat,sale,33.0,1,1,Largo do Calvário - Lx Factory,Lisboa,Alcântara,Largo do Calvário - Lx Factory,pt,38.7046226,-9.1768248,False,https://www.idealista.pt/imovel/33382152/,True,good,False,False,6606.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,"¿BUSCAS UN PISO TOTALMENTE REFORMADO A 5 MINUTOS DE LA ESTACIÓN DE TREN Y A 1 MINUTO DE LA FÁBRICA LX? Piso de 1 dormitorio totalmente reformado con buenos acabados, 2 años de garantía de obra.  Excelente ubicación: tener una vida sin necesidad de coche: a 5 minutos a pie de la estación de tren, a 2 minutos a pie de varias paradas de autobús, a 4 minutos a pie de CUF TEJO  A 2 minutos a pie de MINI PREÇO y PINGO DOCE. Puedes aparcar tu coche fuera de la casa, NO pagas por aparcar. Cocina totalmente equipada con:  Horno BOSH  Estufa GORENJE Lavadora y secadora COMBINADAS  Nevera Campana extractora incorporada  Calentador de agua BOSH  ¡Incluye taburetes de bar! Casa con reforma total: Nuevos marcos de ventanas, nuevas ventanas, nuevas alcantarillas y nueva electricidad. Entrada privada sin cargo de condominio. ¡VEN A CONOCERNOS! Para obtener más información, póngase en contacto con nuestra tienda o envíe una solicitud de contacto.",,,
33382151,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/77/ab/51/242921089.jpg,APT1730HE,36,5,1550000.0,{'price': {'amount': 1550000.0}},flat,sale,164.0,3,4,Baixa,Lisboa,Santa Maria Maior,Baixa,pt,38.7113468,-9.1395981,False,https://www.idealista.pt/imovel/33382151/,False,good,False,True,9451.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso'}",True,False,False,True,False,False,,,{'groupDescription': 'Top'},,
33382046,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/30/2a/40/242912531.jpg,,18,1,925000.0,{'price': {'amount': 925000.0}},flat,sale,145.0,3,2,Lapa,Lisboa,Estrela,Lapa,pt,38.7126535,-9.1579652,False,https://www.idealista.pt/imovel/33382046/,False,good,False,False,6379.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,False,False,,,,,
33290092,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ff/e5/03/244215730.jpg,2270-531,32,,693000.0,{'price': {'amount': 693000.0}},flat,sale,136.0,2,2,rua do Vigário s/n,Lisboa,Santa Maria Maior,Alfama - Sé,pt,38.7126565,-9.1270732,True,https://www.idealista.pt/imovel/33290092/,False,good,False,,5096.0,{'typology': 'flat'},"{'subtitle': 'Santa Maria Maior, Lisboa', 'title': 'Piso en rua do Vigário s/n'}",False,False,False,False,False,False,,"* Casas Particulares Canciller * Apartamento Nuevo * Áreas Generosas * T2 con 136 m2, ubicado en Largo do Chancellor, es un apartamento nuevo, A ESTRENAR, donde la entrada es en la planta baja, visto desde el exterior es un primer piso alto, hay dos dormitorios en suite con closet, antes hay un área donde se puede hacer otro closet, está cerca de otro baño con buenas áreas, la sala es bastante grande e incluye cocineta totalmente equipada. Insertado en una urbanización con una ubicación extraordinaria en el corazón de Alfama, está cerca de la Iglesia de Santo Estevão y del centro de Alfama. Se trata de un apartamento que resulta del notable proyecto de rehabilitación de una antigua fábrica/almacén en varios apartamentos, siendo este uno de esos apartamentos, en este proceso de transformación se utilizaron varios materiales nobles que reflejan el buen gusto, encanto y refinamiento presentados a su disposición. del espacio creado. `` Alfama es el barrio más antiguo y uno de los más típicos de la ciudad de Lisboa. Actualmente, cubre parte de la parroquia de Santa Maria Maior y otra parte de la parroquia de São Vicente. Su nombre deriva del árabe al-hamma (), que significa 'fuente de aguas calientes, buenas aguas'. Las vistas más espectaculares de Alfama se pueden contemplar desde el paseo público formado por los miradores de Portas do Sol, la Torre de la Iglesia de Santa Cruz do Castelo (la torre más alta de la antigua Lisboa) y Santa Luzia. Por encima y alrededor de Alfama se encuentra la colina del Castillo de San Jorge, fortaleza y palacio real hasta el siglo XVI, y la colina de São Vicente. Además del Castillo, los principales monumentos de la zona son la Catedral, la Iglesia de Santo Estêvão y la Iglesia de São Vicente de Fora. Alfama es un barrio muy peculiar porque recuerda a un pueblo antiguo, no sólo por su apariencia sino también porque tiene una comunidad relativamente pequeña y unida. El barrio es frecuentado diariamente por turistas portugueses y extranjeros, y está considerado el más pequeño de toda la ciudad de Lisboa. [cita requerida] Es conocido por sus restaurantes y casas de fado, así como por las fiestas de los Santos Populares, especialmente la noche de Santo António, del 12 al 13 de junio. ``. Compartimos el 50% con todas las agencias inmobiliarias. Características: Características exteriores: comunidad cerrada; Puerta blindada; Videoportero; Características interiores - Hall de entrada; Electrodomésticos integrados; Baño completo; Armario; Armarios; Orientación - Este; Oeste; Otros equipos: servicio de Internet; Televisión por cable; Calefacción central; Alarma de seguridad; Depósito de agua; Lavavajillas; Secadora de ropa; Refrigerador; Microonda; Lavadora; Vistas - Vista de la ciudad; Otras características - Cocina equipada; Recopilación; Ascensor;.",,,
33382058,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/67/3a/12/242910684.jpg,CB06-0134,28,5,218000.0,{'price': {'amount': 218000.0}},flat,sale,59.0,2,1,travessa dos Pescadores,Lisboa,Misericórdia,Cais do Sodré - Santos,pt,38.7093428,-9.1513417,False,https://www.idealista.pt/imovel/33382058/,True,good,False,True,3695.0,{'typology': 'flat'},"{'subtitle': 'Misericórdia, Lisboa', 'title': 'Piso en travessa dos Pescadores'}",True,False,False,False,False,False,,"Se trata de un apartamento con balcón privado en el último piso de un edificio de arquitectura tradicional lisboeta en Santos-o-Velho, Lisboa. Son 59m2 de área bruta dividida entre: sala, dormitorio 1, dormitorio 2, baño, cocina y balcón con excelente exposición al sol. La propiedad tiene una ubicación privilegiada: Travessa dos Pescadores, una calle peatonal llena de edificios residenciales, restaurantes y comercio en general.  MAIS-VALIA: A menos de 1 minuto a pie se encuentra la futura estación de metro de Santos, cuya apertura está prevista para 2025, lo que añadirá aún más valor a su inversión. El transporte en esta zona también se facilita con la estación de tren de Santos a solo 3 minutos a pie, que da acceso tanto a Cais do Sodré como a Cascais, además de autobuses y el movimiento de ubers y taxis. La propiedad está cerca de varios puntos de interés, tales como: - IADE - Instituto de Educación en Artes y Diseño; - ISEG - Instituto Superior de Economía y Gestión; - La Asamblea de la República Portuguesa; - El Jardín de San Benito; - El Jardín de las Estrellas; - El Time Out Market y Cais do Sodré, con varias opciones de buenos bares y restaurantes en los alrededores; - La Calle Verde, llena de restaurantes con encanto; - Barrio Alto; - Varios museos como el Museo de la Comunicación, el Museo de la Farmacia, etc. La propiedad se encuentra en buen estado y lista para entrar a vivir, y solo se recomienda remodelar el baño y la cocina al gusto del comprador. ¡Excelente oportunidad para invertir, residir o incluso alquilar! ¡No pierdas tiempo, ponte en contacto con nosotros para obtener más información y programar tu visita! Descripción de la ubicación Cuando llegues a Santos, serás recibido por un barrio dinámico y vibrante lleno de opciones encantadoras. Con 38 puntos de interés en 15 minutos, el barrio ofrece una variedad de comodidades, desde la Galería de Vinos Peregrina, a solo unos pasos, hasta el Supermercado Santos y la Late Night Shop, ambos a solo 1 minuto a pie. Para los amantes de la comida, hay una gran cantidad de opciones gastronómicas, como Planeta dos Temperos, Santelmo y L'artusi, todas a solo 1 minuto de distancia. Además, con 198 puntos de venta de alimentos y bebidas cercanos, tendrás la oportunidad de explorar una amplia gama de sabores y experiencias gastr.",,,
33382030,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7c/1d/aa/242908192.jpg,,11,2,495000.0,{'price': {'amount': 495000.0}},flat,sale,111.0,4,2,Alameda - Praça do Chile - Almirante Reis,Lisboa,Arroios,São Jorge de Arroios,pt,38.7297241,-9.1350343,False,https://www.idealista.pt/imovel/33382030/,False,good,False,True,4459.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso'}",False,False,False,False,False,False,,"Excelente Apartamento de 4 habitaciones completamente remodelado en la Avenida Almirante Reis: lujo y confort en el corazón de la ciudad Este es el lugar perfecto para quien desea vivir en el centro de la ciudad, con fácil acceso a todas las comodidades, transporte público y atracciones culturales. Este apartamento de 4 habitaciones en la Avenida Almirante Reis ofrece una combinación única de elegancia, espacio y ubicación, creando un entorno residencial verdaderamente excepcional. Con la sala de estar y cuatro habitaciones espaciosas, todas remodeladas, este apartamento es ideal para quienes valoran el espacio y la privacidad. Los grandes ventanales a lo largo del apartamento inundan los espacios con luz natural, creando una atmósfera acogedora e iluminada.",,Alameda - Praça do Chile - Almirante Reis,
