propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,hasVideo,status,newDevelopment,hasLift,parkingSpace,newDevelopmentFinished,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,description,neighborhood
33331166,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9e/fe/13/240713990.jpg,4 B,14,4,815000.0,{'price': {'amount': 815000.0}},flat,sale,213.0,4,4,avenida David Mourão Ferreira s/n,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7756984,-9.1557843,True,https://www.idealista.pt/empreendimento/33331166/,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,3826.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en avenida David Mourão Ferreira s/n'}",True,False,False,False,{'groupDescription': 'Top'},False,False,,
33331194,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/58/bd/7a/240713991.jpg,1 B,14,1,795000.0,{'price': {'amount': 795000.0}},flat,sale,213.0,4,4,avenida David Mourão Ferreira s/n,Lisboa,Lumiar,Alto do Lumiar - Quinta das Conchas - Quinta do Lambert,pt,38.7756984,-9.1557843,True,https://www.idealista.pt/empreendimento/33331194/,False,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,3732.0,{'typology': 'flat'},"{'subtitle': 'Lumiar, Lisboa', 'title': 'Piso en avenida David Mourão Ferreira s/n'}",True,False,False,False,,False,False,"Amplio y muy luminoso T4 nuevo, casi listo para habitar, con dos suites, en 213 M2 de SAP (incluyendo balcones con 33 M2), dos plazas de aparcamiento.",
33331270,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/45/20/bb/240716060.jpg,,17,6,235000.0,{'price': {'amount': 235000.0}},flat,sale,65.0,2,1,Olivais,Lisboa,Olivais,,pt,38.7794676,-9.1233776,False,https://www.idealista.pt/imovel/33331270/,False,good,False,True,,,3615.0,{'typology': 'flat'},"{'subtitle': 'Olivais, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,,
33187572,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/f5/cd/19/244252320.jpg,1196-8783,26,2,499000.0,{'price': {'amount': 499000.0}},flat,sale,117.0,2,2,Alameda - Praça do Chile - Almirante Reis,Lisboa,Arroios,São Jorge de Arroios,pt,38.7316415,-9.1363688,False,https://www.idealista.pt/imovel/33187572/,False,good,False,,,,4265.0,{'typology': 'flat'},"{'subtitle': 'Alameda - Praça do Chile - Almirante Reis, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,,Alameda - Praça do Chile - Almirante Reis
33331198,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/67/46/e8/240778589.jpg,MG0875,36,5,890000.0,{'price': {'amount': 890000.0}},flat,sale,198.0,5,3,Alto dos Moinhos,Lisboa,São Domingos de Benfica,Alto dos Moinhos,pt,38.7484629,-9.1900835,False,https://www.idealista.pt/imovel/33331198/,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,4495.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,"Excelente apartamento de 5 dormitorios, 1 plaza de aparcamiento y 2 trasteros, ubicado en una de las mejores zonas del Benfica en Lisboa. Piso de generosa superficie, compuesto por 5 dormitorios, uno de ellos en suite, con una distribución equilibrada. Vista y tranquilidad que brindan los grandes ventanales con la inmensa exposición al sol hacia el este y el oeste. Con reformas en los baños y cristales climalit oscilobatientes que aíslan el ruido y ahorran energía. - Hall de entrada (con armarios empotrados) y - 2 pasillos con acceso a zonas comunes. - Salón comedor con salida al balcón. - Cocina - 1 Suite con acceso a balcón cerrado. - 4 Dormitorios con acceso a balcón cerrado. - 3 baños completos - 2 Despensas - 3 balcones - 1 plaza de aparcamiento - 2 Trasteros - 5to piso de un edificio con 2 ascensores. - Edificio con portero - Superficie bruta privada: 176,10 m² - Superficie bruta dependiente: 21,90 m² Este apartamento cuenta con todas las comodidades necesarias de la vida urbana así como muchas áreas verdes, estando cerca de todo, cerca de comercio, servicios, unidades de salud y educación. Perfecto para quienes les gusta vivir en el barrio a pie. Mostradores bancarios y varias tiendas y restaurantes en la calle, Pastelaria Califa, Centro Comercial Fonte Nova (con Pingo Doce) a 5m de la estación de metro C.C. Colombo y Colégio Militar/Luz, a 8m de la estación de metro Alto dos Moinhos, Hospital da Luz y Lusíadas, Escola Básica Profe. Delfim Santos, Colégio Marista de Lisboa, accesos viales 2ª circular, IC19, Av. Lusíada y Eixo N/S y mucho más…. Compruebe su visita! IMI: 565,00€ Condominio: 144,66 € 11 pisos de departamentos, 3 por piso, total 33 Excelente piso de 5 habitaciones, 1 plaza de garaje y 2 trasteros. Ubicado en una de las mejores zonas del Benfica, Lisboa. Piso de generosa superficie, compuesto por 5 dormitorios, uno de ellos en suite, con una distribución equilibrada. Vista y tranquilidad que brindan los grandes ventanales con la inmensa exposición al sol hacia el este y el oeste. Con reformas en los baños y cristales climalit oscilobatientes que aíslan el ruido y ahorran energía. - Hall de entrada (con armarios empotrados) - 2 pasillos que dan acceso a zonas comunes. - Salón comedor con salida al balcón. -Cocina - 1 Suite con acceso a balcón cerrado. - 4 Dormitorios con acceso a balcón cerrado. - 3 baños completos - 2 pantalones - 3 contadores - 1 plaza de aparcamiento - 2 Trasteros - 5to piso de un edificio con 2 ascensores. - Edificio con conserje - Superficie privada bruta: 176,10 m² - Superficie bruta dependiente: 21,90 m² Este apartamento cuenta con todas las comodidades necesarias de la vida urbana así como muchas zonas verdes, estando cerca de todo, cerca de comercios, servicios y unidades sanitarias y educativas. Perfecto para quienes les gusta vivir en el barrio a pie. Mostradores bancarios y varias tiendas y restaurantes en la calle, Pastelaria Califa, Centro Comercial Fonte Nova (con Pingo Doce) a 5m de la estación de metro C.C. Colombo y Colégio Militar/Luz, a 8m de la estación de metro Alto dos Moinhos, Hospital da Luz y Lusíadas, Escola Básica Profe. Delfim Santos, Colégio Marista de Lisboa, accesos viales 2ª circular, IC19, Av. Lusíada y Eixo N/S y mucho más…. ¡Marca tu visita! Excelente departamento de 5 recámaras, 1 estacionamiento y 2 entradas. Situado en uno de los mejores barrios del Benfica, Lisboa Apartamento de superficie general, compuesto por 5 habitaciones, ninguna en suite, con disposición uniforme. Vista y tranquilidad que las grandes ventanas ofrecen gracia a la inmensa exposición al sol al este y al oeste. Avec des rénovations dans les salles de bains et des fenêtres à double vitrage avec fenêtres battantes, elles isolent du bruit and économisent de l'energie. - Hall de entrada (con carteles completos) - 2 corredores con acceso a espacios comunes. - Sala de séjour con acceso al balcón. - Cocina - 1 Su.",
33331165,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/86/04/08/244215034.jpg,2226-2924,38,3,1430000.0,{'price': {'amount': 1430000.0}},flat,sale,166.0,3,3,rua Doutor António Cândido,Lisboa,Avenidas Novas,São Sebastião da Pedreira,pt,38.7330237,-9.1488908,False,https://www.idealista.pt/imovel/33331165/,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,8614.0,{'typology': 'flat'},"{'subtitle': 'Avenidas Novas, Lisboa', 'title': 'Piso en rua Doutor António Cândido'}",True,False,False,False,,False,False,"Apartamento de tres dormitorios, todos en suite, ubicado en un edificio reciente y en un condominio de alto estándar con piscina comunitaria en la azotea, destaca en el prestigioso barrio de Avenidas Novas, ubicado en el corazón de Lisboa, junto al Jardim Gulbenkian. El diseño moderno del apartamento queda patente en su amplio salón, que se extiende a un amplio y agradable balcón, integrándose en un espacio abierto con la cocina totalmente equipada. En lo alto del edificio hay un agradable espacio común de ocio, que incluye piscina, salón y baño. El apartamento también cuenta con dos plazas de aparcamiento y un trastero, lo que garantiza comodidad y espacio adicional. Características principales: 3 suites Balcón de 10m2 en la sala de estarExcelente exposición al solLuminoso espacio de estacionamiento dobleTrasteroPiscina común en el condominioCerca del jardín GulbenkianCerca de acceso Esta es una oportunidad única para adquirir una propiedad que combina el confort moderno con una ubicación privilegiada, brindando una experiencia de vida exclusiva en el corazón de la capital portuguesa. ABP 133,47 m2 ABC 166 m2Compartimos con todos los agentes inmobiliarios/profesionales inmobiliarios con licencia AMI vigente al 50%/50%. Características: Características exteriores: estacionamiento; Piscina al aire libre; Terraza/Cubierta; Puerta blindada; Videoportero; Piso superior; Áreas comunes; Características interiores - Hall de entrada; Electrodomésticos integrados; Baño completo; Características Generales - Primer Propietario; Renovar; Orientación - Este; Oeste; Otros equipos: servicio de Internet; Televisión por cable; Gas canalizado; Otras características - Garaje; Balcón; Garaje para 2 Coches; Cocina equipada; Recopilación; Suite; Ascensor;.",
33331146,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/dc/65/ee/240712146.jpg,GRACA2_LM_D,27,4,510000.0,{'price': {'amount': 510000.0}},flat,sale,70.0,2,1,Graça,Lisboa,São Vicente,Graça,pt,38.7143118,-9.1316472,False,https://www.idealista.pt/imovel/33331146/,False,good,False,True,,,7286.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,"Fantástico apartamento de dos dormitorios con 70m² de espacio interior, ubicado en el cuarto piso del edificio en el corazón de Graça.  El espacioso apartamento tiene un hall de entrada, una gran sala de estar con cocina abierta, un baño compartido y dos amplios dormitorios conectados al jardín privado.  Graça II es uno de los únicos nuevos desarrollos residenciales con piscina comunitaria ubicado en el corazón de Graça, una de las colinas más emblemáticas de Lisboa.  Este increíble proyecto consistirá en transformar una belleza antigua en un edificio moderno y lujoso, manteniendo las características y el estilo arquitectónico de Lisboa.  Las obras comenzarán a finales de junio de 2024 y tendrán una duración de 2 años.  Se conservará la fachada principal a la vez que se creará una nueva estructura interior con apartamentos funcionales, modernos y luminosos.  Una reforma total que se llevará a cabo con materiales nobles y acabados de alta calidad.  El desarrollo se compone de dos tiendas en la planta baja, diez apartamentos T2 y cuatro estudios repartidos en las cinco plantas residenciales del edificio.  Una increíble vista de la ciudad es visible desde los pisos superiores.  Situado en el corazón de Lisboa, este lugar único ofrece a los residentes las mejores condiciones para disfrutar de un estilo de vida tranquilo y sofisticado con una amplia gama de restaurantes, tiendas, servicios, transporte, etc.  Graça II es la imagen perfecta de un desarrollo residencial en Lisboa, que ofrece a sus residentes una calidad de vida increíble. Póngase en contacto con nosotros para obtener más información sobre los detalles de la construcción. Podemos concertar una visita para que pueda hacerse una idea de la especialidad de los apartamentos.",
33325386,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a7/58/f1/240513963.jpg,120881501-413,42,5,435000.0,{'price': {'amount': 435000.0}},flat,sale,117.0,3,2,avenida Afonso III,Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7237492,-9.1184468,False,https://www.idealista.pt/imovel/33325386/,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,3718.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso en avenida Afonso Iii'}",True,False,False,False,,False,False,"Bienvenido/a al Edificio Tágide, situado en el corazón de la emblemática parroquia de Penha de França. Una construcción que se destaca del vecindario en un edificio con 2 ascensores, garaje con 1 plaza de aparcamiento, portera residente, conducto interno para depósito de basura orgánica y reciclable. Le presento este apartamento de 4 habitaciones, con 3 dormitorios, 2 baños y cocina empotrada y equipada, siendo la estufa y las máquinas de la vajilla y ropa de la marca Miele. El apartamento es muy soleado ya que tiene dos frentes, lo que permite la entrada de luz natural. No deje de venir a conocer este apartamento porque tiene potencial para transformar y poner a su gusto, creando un espacio más amplio. ¿Acepta la invitación? Punto de referencia: Iglesia Parroquial de San Francisco de Asís. Situado a 2 kms de la estación de metro Arroios, tiene parada de autobús delante del edificio de acceso al metro y otras paradas de Lisboa. Tiene a su disposición todo tipo de comercio y servicios. Palabras del propietario: calidad de vida dentro de Lisboa, cerca de todo, situado en una zona con características familiares. Créame que le gustará conocer. Espero por usted y por su familia. Comunidad: 138€/trimestral.",
33328530,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7d/1d/88/240627461.jpg,5110WM,19,,350000.0,{'price': {'amount': 350000.0}},flat,sale,95.0,3,1,Olivais,Lisboa,Olivais,,pt,38.7710734,-9.1191275,False,https://www.idealista.pt/imovel/33328530/,True,good,False,,,,3684.0,{'typology': 'flat'},"{'subtitle': 'Olivais, Lisboa', 'title': 'Piso'}",True,False,True,False,,False,False,"Apartamento dúplex de 3 dormitorios situado en una zona familiar, con vistas al jardín con parque infantil, campo de fútbol y varios tableros de baloncesto. Insertado en la planta baja y primera planta del edificio, el apartamento consta de 2 plantas, tipo dúplex. La primera planta consta de: un acogedor hall de entrada, una cocina equipada con estufa, horno, calentador de agua y campana extractora, sala de estar con 20m2. Como unión entre las 2 plantas tenemos una elegante escalera interior.  La planta superior cuenta con: un recibidor que conecta con los tres dormitorios y un baño. Todas las ventanas cambiaron recientemente a puertas de PVC de doble acristalamiento oscilobatientes. Además de la cocina y el baño, todo el apartamento está pavimentado con baldosas de madera de pino. Características a destacar: - Estufa + horno + campana extractora + calentador de agua - Marcos de PVC con doble acristalamiento - Puerta blindada Este apartamento está situado en un prestigioso y tranquilo barrio de Lisboa - Olivais. Cerca de la Finca Pedagógica de Olivais y de todo tipo de servicios. Situado junto al 'Shopping Spacio' y la escuela secundaria Eça de Queirós. Alojarse cerca del centro de salud de Olivais, todo tipo de transporte público, incluido el metro, justo en la puerta. Aeropuerto de Lisboa a 4 minutos. Referencia del producto: 5110WM. * Toda la información presentada no es vinculante, no prescinde de la confirmación por parte del mediador, así como de la consulta de la documentación de la propiedad *.. .  Lisboa es una ciudad que encanta a quienes la visitan. Con más de 20 siglos de historia, la capital portuguesa se encuentra junto al río Tajo. Con el sol casi siempre presente, su belleza única y singularidad arquitectónica son aclamadas más allá de las fronteras.. . Buscamos brindar buenos negocios y simplificar los procesos para nuestros clientes. Nuestro crecimiento ha sido exponencial y sostenido. ¿Necesitas una hipoteca? Sin preocupaciones, nos encargamos de todo el proceso hasta el día de la escritura. Explícanos tu situación y buscaremos el banco que te proporcione las mejores condiciones de financiación. ¿Certificación energética? Si estás pensando en vender o alquilar tu inmueble, debes saber que el certificado energético.",
33330916,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/7f/c7/a2/240703054.jpg,120611407-160,18,,235000.0,{'price': {'amount': 235000.0}},flat,sale,61.0,2,1,rua Humberto Madeira,Lisboa,Olivais,,pt,38.778345,-9.1222774,False,https://www.idealista.pt/imovel/33330916/,False,good,False,,,,3852.0,{'typology': 'flat'},"{'subtitle': 'Olivais, Lisboa', 'title': 'Piso en rua Humberto Madeira'}",False,False,False,False,,False,False,"Apartamento de 2 habitaciones, ubicado en Quinta do Morgado en Olivais con mucha luminosidad y vistas despejadas. Con una excelente ubicación, este apartamento se encuentra cerca de todos los comercios, servicios y transportes (autobús y metro). La cocina está equipada con horno, estufa y lavadora. También consta de 2 habitaciones, 1 salón, 1 baño y trastero en el recibidor. La zona de Olivais tiene la ventaja de tener aparcamiento en la puerta, parada de autobús y está a 5 minutos del metro. El edificio se beneficia de 2 ascensores y conducto de basura y el apartamento se encuentra en un sexto piso.",
