propertyCode,thumbnail,externalReference,numPhotos,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,newDevelopmentFinished,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,floor,neighborhood
31805557,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/bc/1b/a4/168156208.jpg,PF27117 ,27,780000.0,{'price': {'amount': 780000.0}},flat,sale,107.0,2,2,Alcântara,Lisboa,Estrela,Alcântara,pt,38.7069409,-9.1707594,False,https://www.idealista.pt/empreendimento/31805557/,"Entre el río y los cerros, en esta ciudad que se extiende hasta el mar, encontrarás un refugio único que te permite sumergirte de lleno en la vida urbana, manteniendo siempre un espacio para respirar. • Dúplex T1 a T4 • Áreas de 53 a 203 m2 • Acabados de calidad • Balcones y terrazas • Vistas a la ciudad • Jardines • Gimnasio • Parque infantil • Estacionamiento Los jardines comunes son uno de los puntos fuertes de este condominio.Amplias y acogedoras, favorecen la experiencia de la naturaleza urbana. Para completar este enfoque holístico del bienestar, y como inspiración para un estilo de vida saludable, armonioso y equilibrado, Villa Infante incluye un gimnasio completamente equipado y un jardín al aire libre, para que sus residentes puedan beneficiarse de todas las ventajas de este condominio privado. . En uno de los barrios más eclécticos y cosmopolitas de la capital –Estrela– la intensidad y riqueza cultural y gastronómica conjugan urbanidad, contemporaneidad y ocio y permiten disfrutar al máximo cada momento del día.",True,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,7290.0,{'typology': 'flat'},"{'subtitle': 'Estrela, Lisboa', 'title': 'Piso'}",True,False,False,False,{'groupDescription': 'Destacado'},False,False,,
33311747,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/49/15/45/244218024.jpg,1204-4666,31,1400000.0,{'price': {'amount': 1400000.0}},flat,sale,184.0,4,4,Praça da Alegria,Lisboa,Santo António,Praça da Alegria,pt,38.7172401,-9.1448732,False,https://www.idealista.pt/imovel/33311747/,"Apartamento Triplex T4+1, ubicado en Rua da Glória, en Lisboa, junto a la Avenida da Liberdade, este apartamento se presenta como una casa independiente, permitiendo una experiencia única en uno de los barrios más emblemáticos de la ciudad. , esta calle histórica es conocida por su atmósfera vibrante y encantadora. Rua da Glória se extiende desde la Avenida da Liberdade hasta la Praça da Alegria, proporcionando una conexión entre dos zonas emblemáticas de Lisboa. Al caminar por esta calle, los visitantes pueden admirar la arquitectura clásica de los edificios, con fachadas coloridas y azulejos tradicionales. Esta zona alberga una variedad de establecimientos comerciales, como tiendas de moda, acogedores cafés y restaurantes tradicionales, ofreciendo una experiencia diversa a sus visitantes. Además, Rua da Glória también es conocida por su famoso ascensor, el Elevador da Glória, que transporta a residentes y turistas al mirador del Jardim de São Pedro de Alcântara, ofreciendo una impresionante vista panorámica de la ciudad. Rua da Glória es un lugar encantador para explorar y experimentar la esencia del ambiente de Lisboa. Todo el edificio se encuentra en un excelente estado de conservación, habiendo sido objeto de un proceso de restauración en el que se favoreció el uso de materiales tradicionales de alta calidad, manteniendo el estilo. Características de una casa tradicional portuguesa, modernizada para garantizar un alto confort, en un ambiente muy acogedor. Equipada con calefacción central y aire acondicionado en todas las habitaciones, garantiza un alto confort térmico y acústico, habiéndose instalado doble acristalamiento con aire en todas las habitaciones. ventanas, manteniendo su elegante estructura original de madera. Suelos de pino hispánico, riga viejo, pino viejo, todo ello tratado contra humedades y hongos, reforzándose los suelos principales con estructura metálica en toda su longitud y en vertical. Orientación Sur y Oeste, lo que permite vistas abiertas. *** VISITA VIRTUAL DISPONIBLE *** ¡Contáctame! Características: Características exteriores - Puerta blindada; Piso superior; Características interiores: chimenea; Orientación - Sur; Oeste; Otros equipos: servicio de Internet; Gas canalizado; Calefacción central; Lavavajillas; Lavadora; Vistas - Vista de la ciudad; Otras características - Balcón; Cocina equipada; Aire condicionado;.",False,good,False,,,,7609.0,{'typology': 'flat'},"{'subtitle': 'Santo António, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,,
33311730,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/ea/8c/cc/240105587.jpg,ND2400505 (3),36,529000.0,{'price': {'amount': 529000.0}},flat,sale,135.0,3,2,Telheiras,Lisboa,Carnide,Telheiras,pt,38.7682761,-9.185535,False,https://www.idealista.pt/imovel/33311730/,,True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,3919.0,{'typology': 'flat'},"{'subtitle': 'Carnide, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,3,
31497811,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/49/e5/b9/240116147.jpg,CB02-0081_E106,29,750000.0,{'price': {'amount': 750000.0}},flat,sale,85.0,2,2,"rua Aviador Plácido de Abreu, 1",Lisboa,Campolide,Centro,pt,38.7253263,-9.1612118,True,https://www.idealista.pt/empreendimento/31497811/,"Apartamento de 2 dormitorios nuevo que consta de salón comedor con cocina americana, una suite, un dormitorio con armario empotrado, baño completo, trastero y una plaza de garaje. Situado en la 2ª planta con una excelente ubicación en el barrio de las Amoreiras, a dos minutos a pie del Marqués de Pombal, el Parque Eduardo VII, de la icónica Avenida da Liberdade y del centro financiero de la ciudad, los apartamentos del LX Living son una oferta única en la ciudad de Lisboa. Todos los propietarios tendrán acceso total a un conjunto de comodidades y servicios habitualmente disponibles en hoteles de lujo: • Gimnasio completamente equipado y spa • Dos piscinas • Amplio aparcamiento subterráneo • Dos restaurantes y un bar • Jardín y terraza en la azotea del edificio • Varias salas, áreas de descanso y lugares de encuentro • Conexión de fibra de alta velocidad en todo el edificio La proximidad a centros educativos como el Liceo Francés Charles Lepierre, el Externato Pedro Nunes, la Escuela María Amalia y la Universidad Nova de Lisboa, es una comodidad para las familias con niños. El contemporáneo LX Living se caracteriza por sus impresionantes balcones y está formado por 151 apartamentos de lujo de 0 a 4 dormitorios, con superficies comprendidas entre los 43 y los 171 m2, y locales comerciales en la planta baja, dispuestos en dos edificios separados, interconectados por una plaza interior ajardinada a través de la cual es posible llegar a las tiendas y restaurantes de la planta baja. Concebido por el prestigioso estudio de arquitectura de Lisboa, Saraiva + Associados, el LX Living ha sido magistralmente proyectado para integrar el tejido urbano existente revelando líneas dramáticas y contemporáneas, así como espacios habitables perfectamente concebidos, incluyendo amplios balcones y jardines en la azotea. El diseño a lo largo de toda la fachada exterior se caracteriza por un sistema de grandes balcones tipo voladizo, marcados por impresionantes espacios vacíos, permitiendo una extensión visual y funcional de las principales áreas habitables de los apartamentos.",True,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,8824.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en rua Aviador Plácido de Abreu, 1'}",True,False,False,False,,False,False,2,
33311556,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/3e/0f/ec/156715720.jpg, CB02-0081_C103,27,770000.0,{'price': {'amount': 770000.0}},flat,sale,92.0,2,2,"rua Aviador Plácido de Abreu, 1",Lisboa,Campolide,Centro,pt,38.7253263,-9.1612118,True,https://www.idealista.pt/empreendimento/33311556/,"Nuevo apartamento de 2 dormitorios con 92,4 m2, ubicado en el segundo piso con estacionamiento y almacenamiento, con una excelente ubicación en el barrio de Amoreiras, a dos minutos a pie de Marqués de Pombal, Parque Eduardo VII, la icónica Avenida da Liberdade y el centro financiero en el city, los apartamentos LX Living son una oferta única en la ciudad de Lisboa. Todos los propietarios tendrán acceso completo a una variedad de comodidades y servicios comúnmente disponibles en hoteles de lujo: • Gimnasio y spa totalmente equipados • Dos piscinas • Gran aparcamiento subterráneo • Dos restaurantes y un bar • Jardín y terraza en la parte superior del edificio • Varias salas, áreas de descanso y lugares de reunión • Conexión de fibra de alta velocidad en todo el edificio La proximidad a establecimientos educativos como Lycée Français Charles Lepierre, Externato Pedro Nunes, Escola Maria Amália y Universidade Nova de Lisboa, es una comodidad para las familias con niños. El LX vida contemporánea se caracteriza por sus impresionantes balcones y consta de 151 apartamentos de lujo T0 a T4, con áreas entre el 43 a 171 m2, y locales comerciales en la planta baja, dispuestos en dos edificios separados, conectados por una zona verde de interior a través de la cual es posible llegar a las tiendas y restaurantes de la planta baja. Diseñado por la prestigiosa firma de arquitectura de Lisboa Saraiva + Associados, LX Living fue diseñado magistralmente para integrar el tejido urbano existente revelando líneas dramáticas y contemporáneas, así como espacios de vida perfectamente diseñados, incluidos amplios balcones y jardines en la azotea. El diseño a lo largo de toda la fachada exterior se caracteriza por un sistema de grandes balcones en voladizo, marcados por impresionantes espacios vacíos, que permiten una extensión visual y funcional de las principales áreas de estar de los apartamentos.",True,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,8370.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en rua Aviador Plácido de Abreu, 1'}",True,False,False,False,,False,False,1,
33311590,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/e1/7f/ed/240119619.jpg,CB02-0081_E406,32,825000.0,{'price': {'amount': 825000.0}},flat,sale,91.0,2,2,"rua Aviador Plácido de Abreu, 1",Lisboa,Campolide,Centro,pt,38.7253263,-9.1612118,True,https://www.idealista.pt/empreendimento/33311590/,"Apartamento nuevo de 2 habitaciones con 91.49 m2, ubicado en el 1er piso con parking y trastero, con una excelente ubicación en el barrio de Amoreiras, a dos minutos a pie de Marqués de Pombal, Parque Eduardo VII, la icónica avenida de la Libertad y el centro financiero de la ciudad, los apartamentos de LX de estar son una oferta única en la ciudad de Lisboa. Todos los propietarios tendrán acceso completo a una variedad de comodidades y servicios comúnmente disponibles en hoteles de lujo: • Gimnasio y spa totalmente equipados • Dos piscinas • Gran aparcamiento subterráneo • Dos restaurantes y un bar • Jardín y terraza en la parte superior del edificio • Varias salas, áreas de descanso y lugares de reunión • Conexión de fibra de alta velocidad en todo el edificio La proximidad a establecimientos educativos como Lycée Français Charles Lepierre, Externato Pedro Nunes, Escola Maria Amália y Universidade Nova de Lisboa, es una comodidad para las familias con niños. El LX vida contemporánea se caracteriza por sus impresionantes balcones y consta de 151 apartamentos de lujo T0 a T4, con áreas entre el 43 a 171 m2, y locales comerciales en la planta baja, dispuestos en dos edificios separados, conectados por una zona verde de interior a través de la cual es posible llegar a las tiendas y restaurantes de la planta baja. Diseñado por la prestigiosa firma de arquitectura de Lisboa Saraiva + Associados, LX Living fue diseñado magistralmente para integrar el tejido urbano existente revelando líneas dramáticas y contemporáneas, así como espacios de vida perfectamente diseñados, incluidos amplios balcones y jardines en la azotea. El diseño a lo largo de toda la fachada exterior se caracteriza por un sistema de grandes balcones en voladizo, marcados por impresionantes espacios vacíos, que permiten una extensión visual y funcional de las principales áreas de estar de los apartamentos.",True,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,9066.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en rua Aviador Plácido de Abreu, 1'}",True,False,False,False,,False,False,4,
31497723,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d3/a2/f8/156706741.jpg,CB02-0081_B203,31,820000.0,{'price': {'amount': 820000.0}},flat,sale,108.0,2,2,"rua Aviador Plácido de Abreu, 1",Lisboa,Campolide,Centro,pt,38.7253263,-9.1612118,True,https://www.idealista.pt/empreendimento/31497723/,"Apartamento nuevo de 2 habitaciones con 86.16 m2, terraza con 22,27 m2, ubicado en el segundo piso con estacionamiento y almacenamiento, con una excelente ubicación en el barrio de Amoreiras, a dos minutos a pie de Marqués de Pombal, Parque Eduardo VII, la icónica avenida de la Libertad y la ciudad centro, LX Vida Los apartamentos son una oferta única en la ciudad de Lisboa. Todos los propietarios tendrán acceso completo a una variedad de comodidades y servicios comúnmente disponibles en hoteles de lujo: • Gimnasio y spa totalmente equipados • Dos piscinas • Gran aparcamiento subterráneo • Dos restaurantes y un bar • Jardín y terraza en la parte superior del edificio • Varias salas, áreas de descanso y lugares de reunión • Conexión de fibra de alta velocidad en todo el edificio La proximidad a establecimientos educativos como Lycée Français Charles Lepierre, Externato Pedro Nunes, Escola Maria Amália y Universidade Nova de Lisboa, es una comodidad para las familias con niños. El LX vida contemporánea se caracteriza por sus impresionantes balcones y consta de 151 apartamentos de lujo T0 a T4, con áreas entre el 43 a 171 m2, y locales comerciales en la planta baja, dispuestos en dos edificios separados, conectados por una zona verde de interior a través de la cual es posible llegar a las tiendas y restaurantes de la planta baja. Diseñado por la prestigiosa firma de arquitectura de Lisboa Saraiva + Associados, LX Living fue diseñado magistralmente para integrar el tejido urbano existente revelando líneas dramáticas y contemporáneas, así como espacios de vida perfectamente diseñados, incluidos amplios balcones y jardines en la azotea. El diseño a lo largo de toda la fachada exterior se caracteriza por un sistema de grandes balcones en voladizo, marcados por impresionantes espacios vacíos, que permiten una extensión visual y funcional de las principales áreas de estar de los apartamentos.",True,newdevelopment,True,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,7593.0,{'typology': 'flat'},"{'subtitle': 'Campolide, Lisboa', 'title': 'Piso en rua Aviador Plácido de Abreu, 1'}",True,False,False,False,{'groupDescription': 'Destacado'},False,False,2,
33117625,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/fc/fe/35/232191142.jpg,I1003,18,339500.0,{'price': {'amount': 339500.0}},flat,sale,54.0,1,1,Estefânia,Lisboa,Arroios,São Jorge de Arroios,pt,38.7302515,-9.1386184,False,https://www.idealista.pt/imovel/33117625/,"A EMBAIXADA DA CASA Presenta esta T1 de 54m2, totalmente restaurada, ubicada en LISBOA en la zona de Estefânia. En finca con ascensor. Esta T1 consta de hall de entrada, con puerta de calle blindada, baño completo con ducha, cocina semi equipada con vitrocerámica, horno, campana extractora y termo para agua caliente. Otro salón y un dormitorio, ambos con acceso al balcón cerrado con toldo, que rodea el apartamento, desde el que se asoma a una plaza ajardinada. Ubicado en el centro de Lisboa, con todo el comercio callejero tradicional de nuestra ciudad. Transporte público en la puerta, zona muy dinámica e ideal para vivir.",False,good,False,False,,,6287.0,{'typology': 'flat'},"{'subtitle': 'Estefânia, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,3,Estefânia
33311524,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/11/50/57/240098357.jpg,120611219-114,30,690000.0,{'price': {'amount': 690000.0}},chalet,sale,175.0,4,2,rua de Vila Fontes,Lisboa,Olivais,,pt,38.7566556,-9.1037747,False,https://www.idealista.pt/imovel/33311524/,,False,good,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,3943.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'Olivais, Lisboa', 'title': 'Chalet pareado en rua de Vila Fontes'}",True,False,False,False,,False,False,,
33311408,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/48/21/a3/240092247.jpg,,39,1085000.0,{'price': {'amount': 1085000.0}},flat,sale,150.0,4,4,"rua das Amoreiras, 25",Lisboa,Campo de Ourique,Amoreiras,pt,38.7212431,-9.1564044,True,https://www.idealista.pt/imovel/33311408/,"Vivir en una de las mejores y más valiosas zonas de Lisboa. Excelente apartamento de 4 dormitorios con una superficie bruta privada de 150 m2, completamente remodelado y a estrenar, ubicado en un edificio con solo 5 fracciones, siendo 1 apartamento por piso. Con proyectos de arquitectura e ingeniería de estructuras y especialidades, aprobados por la Cámara Municipal de Lisboa, con Licencia de Utilización y Ficha Técnica. Ubicación excepcional frente al Jardín de las Amoreiras, al Reservatorio de la Madre de Agua de las Amoreiras y al Acueducto de las Aguas Libres, a 150 metros del Metro de Largo do Rato, cerca del Liceo Francés y otras escuelas de prestigio. Posibilidad de alquilar aparcamiento en el edificio contiguo (Ginásio Clube Português). - Salón doble con conexión a la cocina; - Cocina totalmente equipada: placa de inducción, campana extractora, horno, microondas, combinado, lavavajillas; - Oficina; - 3 Suites; - 5 Armarios empotrados; - 4 aseos: siendo 3 completos y privados de las suites, todos con ventana, plato de ducha y toalleros eléctricos y 1 aseo social; - División para trasteros y lavadero, bastante espaciosa y equipada con lavadora y secadora de ropa y termoacumulador de 200 lts. - Carpintería con corte térmico, en aluminio con oscilobatiente y vidrios dobles; - Aire acondicionado, sistema multisplit inverter de bajo consumo; - Calificación energética ""B-""; - Edificio con ascensor; - Este apartamento que está totalmente libre de cualquier gravamen o cargo, es propiedad de nuestra Empresa.",True,good,False,True,,,7233.0,{'typology': 'flat'},"{'subtitle': 'Campo de Ourique, Lisboa', 'title': 'Piso en rua das Amoreiras, 25'}",True,False,False,False,,False,False,2,
