propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,parkingSpace,newDevelopmentFinished,neighborhood
33290399,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/65/61/5c/239300614.jpg,2024-08,24,bj,260000.0,"{'price': {'amount': 260000.0, 'priceDropInfo': {'formerPrice': 270000.0, 'priceDropValue': 10000, 'priceDropPercentage': 4}}}",flat,sale,87.0,1,1,Anjos,Lisboa,Arroios,Anjos,pt,38.7293489,-9.1324632,False,https://www.idealista.pt/imovel/33290399/,"Oportunidad de Inversión: Apartamento de 1 dormitorio + 1 para reformar en Anjos, Lisboa. Este prometedor inmueble está situado en una de las zonas más deseadas de Lisboa: Anjos. Con una configuración de un dormitorio más un espacio adicional, ideal para una oficina o estudio, este apartamento ofrece un potencial increíble para la remodelación y personalización de acuerdo con sus gustos y necesidades. Con una espaciosa sala de estar, cocina y dormitorio, este apartamento presenta una base sólida para crear el hogar de sus sueños. Las ventanas de doble acristalamiento garantizan tranquilidad y confort, mientras que la terraza soleada invita a disfrutar de momentos relajantes, ya sea con un delicioso desayuno o una animada cena entre amigos. El edificio ha sido completamente renovado, ofreciendo un ambiente moderno y actualizado. Además, cuenta con un espacio común dedicado a reuniones y barbacoas, brindando oportunidades adicionales para socializar y disfrutar del agradable clima de Lisboa. Con una superficie total de 87 m², de los cuales 80 m² son útiles, este apartamento ofrece una excelente opción para quienes buscan una propiedad bien ubicada con potencial de revalorización.",False,renew,False,False,2989.0,{'typology': 'flat'},"{'subtitle': 'Arroios, Lisboa', 'title': 'Piso'}",True,False,False,False,{'groupDescription': 'Top'},False,False,,,
33287555,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/74/1c/94/239164938.jpg,PP174516,27,,325000.0,{'price': {'amount': 325000.0}},flat,sale,67.0,1,1,Alto de São João - Alto do Varejão,Lisboa,Penha de França,Alto de São João - Alto do Varejão,pt,38.7273351,-9.1216156,False,https://www.idealista.pt/imovel/33287555/,"Este amplio apartamento dúplex T1+1 está ubicado en un edificio de estilo tradicional en la tranquila zona de Penha de França, un suburbio residencial maduro de la ciudad de Lisboa, con todas las comodidades. Debido a su ubicación en el piso más alto de este edificio sin ascensor, este apartamento del segundo piso está bañado por la luz. Contiene un espacio de vida de planta abierta con maravillosas vistas despejadas del río Tajo y la distancia más allá. La cocina tiene todas las comodidades modernas. Hay un dormitorio y un baño en el primer nivel. Hay un amplio espacio de almacenamiento incorporado. Se proporciona aire acondicionado en todas las habitaciones, incluso en su loft con tragaluz, un espacio con mucho espacio de almacenamiento que actualmente sirve como dormitorio +1, pero que también puede servir como sala de estar, gimnasio u oficina. El apartamento tiene una gran terraza exterior bañada por el sol ubicada en la planta baja, a la que se accede a través de escaleras exteriores desde la sala de estar. Está parcialmente cubierto por árboles que proporcionan algo de sombra del sol durante el verano. El edificio está situado en una zona con amplio aparcamiento en la calle, cerca del centro de Lisboa y del aeropuerto.",False,good,False,,4851.0,{'typology': 'flat'},"{'subtitle': 'Penha de França, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,,,
33290423,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/b6/da/b2/239299047.jpg,ZMPT565698,34,15,1100000.0,{'price': {'amount': 1100000.0}},flat,sale,200.0,2,3,avenida Pacífico,Lisboa,Parque das Nações,Expo Central,pt,38.76742,-9.0949211,False,https://www.idealista.pt/imovel/33290423/,"Identificación de la propiedad: ZMPT565698 Bienvenido al esplendor y la elegancia de este magnífico apartamento dúplex, ubicado en las emblemáticas torres junto al Centro Comercial Vasco da Gama, una verdadera joya arquitectónica en el corazón del Parque das Nações, Lisboa. Con una superficie bruta de 198m2, este T3 dúplex, actualmente convertido en un T2 dúplex con vestidor, destaca por su excelente estado de conservación y por la meticulosa atención a los detalles, caracterizándose como una obra maestra de la arquitectura contemporánea. Cada espacio ha sido cuidadosamente diseñado para ofrecer confort y exclusividad a sus futuros moradores. La cocina es un verdadero santuario para los amantes de la cocina, presentando una amplia gama de electrodomésticos modernos y de alta calidad. Incluidos en la lista están un lavavajillas, cafetera, lavadora, secadora y un frigorífico americano espacioso y bodega climatizada. Disfruta de una vista impresionante y despejada sobre la belleza natural circundante, proporcionada por amplios ventanales que inundan los interiores con luz natural, creando una atmósfera acogedora y atractiva. Este ambiente es perfecto para momentos de convivencia memorables en medio de un aura de sofisticación. Además, la propiedad dispone de dos plazas de aparcamiento y un trastero, garantizando practicidad y organización para sus residentes. La seguridad y la privacidad están aseguradas por la presencia de un portero 24 horas, proporcionando tranquilidad y confort a los habitantes. Con fácil acceso a todas las comodidades necesarias y a las prestigiosas escuelas, el Parque das Nações ofrece más que una simple ubicación: representa un estilo de vida deseable para aquellos que buscan lo mejor que la vida tiene que ofrecer. Agenda ya tu visita y descubre la armonía entre lujo, confort y conveniencia en este exclusivo apartamento dúplex. Esta es la oportunidad de formar parte de una comunidad vibrante y dinámica, donde cada día es una celebración de la excelencia y el bienestar. 3 razones para comprar con Zome + acompañamiento Con una preparación y experiencia única en el mercado inmobiliario, los consultores Zome ponen toda su dedicación en brindarte el mejor acompañamiento, orientándote con la máxima confianza, en la dirección correcta de tus necesidades y ambiciones. De aquí en adelante, crearemos una relación cercana y escucharemos con atención tus expectativas, ¡porque nuestra prioridad es tu felicidad! Porque es importante que sientas que estás acompañado, y que estamos contigo siempre. + simple Los consultores Zome tienen una formación única en el mercado, anclada en el intercambio de experiencia práctica entre profesionales y fortalecida por el conocimiento de la neurociencia aplicada que les permite simplificar y hacer más eficaz tu experiencia inmobiliaria. Deja atrás las pesadillas burocráticas porque en Zome encuentras el apoyo total de un equipo experimentado y multidisciplinar que te da soporte práctico en todos los aspectos fundamentales, para que tu experiencia inmobiliaria supere las expectativas. + feliz ¡Nuestro mayor valor es entregarte felicidad! Libérate de preocupaciones y gana el tiempo de calidad que necesitas para dedicarte a lo que te hace más feliz. Actuamos diariamente para aportar más valor a tu vida con el asesoramiento fiable que necesitas para que, juntos, consigamos alcanzar los mejores resultados. Con Zome nunca estarás perdido o desatendido y encontrarás algo que no tiene precio: ¡tu máxima tranquilidad! Así es como te sentirás a lo largo de toda la experiencia: Tranquilo, seguro, cómodo y... ¡FELIZ! Notas: 1. En caso de ser un asesor inmobiliario, esta propiedad está disponible para compartir negocio. No dudes en presentarla a tus clientes compradores y habla con nosotros para agendar tu visita. 2. Para mayor facilidad en la identificación de esta propiedad, por favor, menciona el ID correspo",True,good,False,True,5500.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Piso en avenida Pacífico'}",True,False,False,False,,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33286788,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/9a/44/8a/239111341.jpg,,21,1,200000.0,"{'price': {'amount': 200000.0, 'priceDropInfo': {'formerPrice': 210000.0, 'priceDropValue': 10000, 'priceDropPercentage': 5}}}",flat,sale,52.0,1,1,Calçada Cascão,Lisboa,São Vicente,São Vicente de Fora,pt,38.7156922,-9.1264517,False,https://www.idealista.pt/imovel/33286788/,"Apartamento de 2 habitaciones, en la Calzada Cascão, junto al Panteón Nacional. Inmueble en buen estado estructural, pero que necesita cocina y baño nuevos. Se trata de un 1er piso con entrada dedicada. Superficie útil de 38m2, suelo de tarima flotante y altura de techo de 2,06m. Zona circundante muy agradable con características tradicionales de la Lisboa antigua. Reserve su visita. Isabel Costa.",False,renew,False,False,3846.0,{'typology': 'flat'},"{'subtitle': 'São Vicente, Lisboa', 'title': 'Piso en Calçada Cascão'}",False,False,False,False,,False,False,,,
33290366,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/a6/06/c4/239298267.jpg,121701109-1328,20,7,490000.0,{'price': {'amount': 490000.0}},flat,sale,98.0,2,2,rua do Sena,Lisboa,Parque das Nações,Expo Norte,pt,38.7907466,-9.0967563,False,https://www.idealista.pt/imovel/33290366/,"VISTA RÍO T2 - DESARROLLO PARQUE DO RIO, PARQUE DAS NAÇÕES Apartamento de 2 dormitorios ubicado en la Rua do Sena en el DESARROLLO PARQUE DO RIO en Parque das Nações con vista frontal al río. Excelente exposición solar SALIDA/SUR con una vista panorámica del Puente Vasco da Gama. Con calefacción central, persianas eléctricas y cocina equipada Plaza de aparcamiento y trastero.",False,good,False,True,5000.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Piso en rua do Sena'}",False,False,False,False,,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
33290377,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/70/79/6a/239298210.jpg,042240036,15,2,479000.0,"{'price': {'amount': 479000.0, 'priceDropInfo': {'formerPrice': 493000.0, 'priceDropValue': 14000, 'priceDropPercentage': 3}}}",flat,sale,107.0,3,2,Calçada da Ajuda,Lisboa,Ajuda,Centro,pt,38.7045812,-9.1999915,False,https://www.idealista.pt/imovel/33290377/,"Encantador apartamento de 3 habitaciones con suite y vestidor, excelente iluminación y ubicación privilegiada en la Calzada de Ajuda. 107 m², construido en 1951, en el segundo piso con ascensor. ¡Ven a conocerlo y déjate encantar!",True,good,False,False,4477.0,{'typology': 'flat'},"{'subtitle': 'Ajuda, Lisboa', 'title': 'Piso en Calçada da Ajuda'}",True,False,False,False,{'groupDescription': 'Destacado'},False,False,,,
33290336,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/d0/8d/bb/239825221.jpg,042240063,17,3,499900.0,{'price': {'amount': 499900.0}},flat,sale,77.0,2,2,rua do Danúbio,Lisboa,Parque das Nações,Expo Norte,pt,38.7897945,-9.0987592,False,https://www.idealista.pt/imovel/33290336/,"Descubra este elegante apartamento remodelado en el Parque de las Naciones (Expo Norte) con 2 habitaciones, 2 baños y vistas impresionantes. Incluye estacionamiento y trastero. Con aire acondicionado, casa totalmente eléctrica y persianas eléctricas. Integrado perfectamente con la naturaleza, cerca de escuelas y servicios.",False,good,False,True,6492.0,{'typology': 'flat'},"{'subtitle': 'Parque das Nações, Lisboa', 'title': 'Piso en rua do Danúbio'}",True,False,False,False,{'groupDescription': 'Top'},False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
32198276,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/5a/f4/1a/185728358.jpg,F 1ºE,26,1,955000.0,{'price': {'amount': 955000.0}},flat,sale,200.0,3,3,Marvila,Lisboa,Marvila,,pt,38.7471312,-9.0990609,False,https://www.idealista.pt/empreendimento/32198276/,"SQUARE es el concepto más reciente disponible en Prata Riverside Village. Un conjunto variado de apartamentos de 1, 2 y 3 habitaciones, con varios diseños disponibles en cada tipología, que se unen a la ya reconocida comodidad y calidad del desarrollo en una ubicación muy céntrica, junto a la plaza central del barrio. En el corazón de Prata, SQUARE da forma a una visión única de centralidad y modernidad, un día a día práctico y funcional, pero con gusto e inspiración en cada detalle. Para empezar, claro, por tu casa, donde la arquitectura de Renzo Piano, los materiales y acabados de primera calidad deleitan el tacto y la mirada, y te ofrecen áreas generosas, balcones amplios y la luz natural única de Lisboa. Siempre con la mayor sostenibilidad energética y un altísimo nivel de confort acústico y térmico, para elevar tu nivel de bienestar, todos los días del año. Características clave · Arquitectura de Renzo Piano: el icónico Premio Pritzker italiano; · Ubicado junto a la plaza central de un nuevo barrio ribereño con 120 tiendas, mercado, gimnasio y otros servicios; · Cocinas Ernesto Meda en concepto abierto, con o sin isla, con equipamiento completo SMEG; · Acabados de primera calidad en toda la casa (Gessi, Florim, iGuzzini, entre otros); · Ascensores panorámicos Schmitt + Sohn con vistas al jardín común del edificio; · Climatización frío-calor; · Estacionamiento privado con cargador para vehículos enchufables; · Trastero. Características específicas Piso 1 Tipología T3 Superficie interior 155,90 m2 Terrazas y Balcón 43,70 m2 Total 199,60 m2 2 Plazas de garaje Trastero Vivienda de obra nueva Edificio 1er piso Ascensor Jardín privado de la comunidad.",False,newdevelopment,True,True,4775.0,{'typology': 'flat'},"{'subtitle': 'Marvila, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",False,
33289982,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/97/1f/6d/239281086.jpg,RB001663,38,,327500.0,{'price': {'amount': 327500.0}},flat,sale,81.0,1,1,Alto de Alcântara,Lisboa,Alcântara,Alto de Alcântara,pt,38.7034226,-9.1890223,False,https://www.idealista.pt/imovel/33289982/,,False,good,False,,4043.0,{'typology': 'flat'},"{'subtitle': 'Alcântara, Lisboa', 'title': 'Piso'}",False,False,False,False,,False,False,,,
33289663,https://img3.idealista.pt/blur/WEB_LISTING/0/id.pro.pt.image.master/13/00/b2/239272948.jpg,HD-1121C,40,8,895000.0,{'price': {'amount': 895000.0}},flat,sale,187.0,4,4,Alto dos Moinhos,Lisboa,São Domingos de Benfica,Alto dos Moinhos,pt,38.7519531,-9.1790729,False,https://www.idealista.pt/imovel/33289663/,"Bienvenido a su futuro hogar. Un exclusivo apartamento de 4 dormitorios en Benfica. El apartamento ofrece una combinación única de confort y espacios habitables con una vista impresionante de la vibrante ciudad de Lisboa. Este amplio apartamento de 4 dormitorios, ideal para familias, incluye una lujosa suite principal y tres acogedoras habitaciones. El espacio se maximiza con un amplio hall de entrada, armarios espaciosos y un baño social. La cocina, completamente equipada, se abre a una zona de lavandería y despensa. Además, dos elegantes salones, uno con chimenea y vistas al jardín Bem Saúde, y un comedor junto a la cocina, hacen de este apartamento el lugar perfecto tanto para la vida familiar como para recibir amigos. Lujo y confort en los detalles: Cada detalle de este apartamento transmite confort. Disfrute del aire acondicionado y la calefacción integrados, que garantizan un ambiente perfecto durante todo el año. La suite principal es un verdadero refugio, con amplio espacio y privacidad. En la zona privada de las habitaciones, un pasillo conduce a otros dos baños, garantizando comodidad y privacidad para todos los miembros de la familia. Seguridad y accesibilidad: La seguridad es primordial en este edificio, que ofrece servicio de conserjería y un garaje privado para dos coches. Con dos ascensores, el acceso al apartamento es fácil y cómodo, ideal para todas las edades y necesidades. Características únicas del apartamento: - Ubicación Lisboa, Benfica. - Piscina cubierta. - Garaje doble. - Suite principal. - Vista panorámica. - Salón con chimenea. - Cocina equipada. - Jardín Bem Saúde. - Azotea con piscina y vistas a la ciudad - Seguridad 24 horas. - Zona de lavandería. - Amplia despensa. Ubicación privilegiada: Situado en Benfica, este apartamento está cerca de todo lo mejor de Lisboa. La proximidad al jardín Bem Saúde y la vista panorámica de la ciudad desde la piscina cubierta en la azotea son solo algunos de los aspectos más destacados. Este es un barrio tranquilo, pero aún así cerca de centros comerciales, escuelas y una vibrante vida cultural. Si busca un apartamento en Benfica que combine lujo, confort, seguridad y una ubicación privilegiada, este es el inmueble ideal para usted. Le invitamos a programar una visita y descubrir por sí mismo cómo este apartamento puede ser el escenario perfecto para su nueva vida en Lisboa. Venga a vivir donde la ciudad se encuentra con la tranquilidad, y el lujo se une al confort diario. House Door Real Estate ofrece un servicio personalizado de presentación de inmuebles en Portugal, basado en la experiencia de mercado, la adaptación y las soluciones eficientes para atender las necesidades específicas de cada cliente. Residential Advisory Portugal complementa a House Door Real Estate al brindar consultoría especializada a compradores, tanto internacionales como nacionales, simplificando el proceso de compra de inmuebles en Portugal con conocimiento de mercado y enfoque en el estilo de vida del cliente.",True,good,False,True,4786.0,{'typology': 'flat'},"{'subtitle': 'São Domingos de Benfica, Lisboa', 'title': 'Piso'}",True,False,False,False,,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
